#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Rhizobium sp. N741","Bacteria;Proteobacteria;Alphaproteobacteria","N741","SAMN03998644","PRJNA293118","GCA_001664545.1","Complete",6.55635,61.1198,"chromosome:NZ_CP013595.1/CP013595.1; plasmid pRspN741a:NZ_CP013596.1/CP013596.1; plasmid pRspN741b:NZ_CP013597.1/CP013597.1; plasmid pRspN741c:NZ_CP013598.1/CP013598.1; plasmid pRspN741d:NZ_CP013599.1/CP013599.1; plasmid pRspN741e:NZ_CP013600.1/CP013600.1",,6,6088,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/545/GCA_001664545.1_ASM166454v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/545/GCF_001664545.1_ASM166454v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","R611","SAMN03998631","PRJNA293118","GCA_001664445.1","Complete",6.70484,61.3784,"chromosome:NZ_CP013547.1/CP013547.1; plasmid pRetR611a:NZ_CP013548.1/CP013548.1; plasmid pRetR611b:NZ_CP013549.1/CP013549.1; plasmid pRetR611c:NZ_CP013550.1/CP013550.1; plasmid pRetR611d:NZ_CP013551.1/CP013551.1",,5,6193,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/445/GCA_001664445.1_ASM166444v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/445/GCF_001664445.1_ASM166444v1"
"Rhizobium sp. NXC14","Bacteria;Proteobacteria;Alphaproteobacteria","NXC14","SAMN06767451","PRJNA383589","GCA_002117485.1","Complete",6.68632,60.8747,"chromosome:NZ_CP021030.1/CP021030.1; plasmid pRspNXC14a:NZ_CP021031.1/CP021031.1; plasmid pRspNXC14b:NZ_CP021032.1/CP021032.1; plasmid pRspNXC14c:NZ_CP021033.1/CP021033.1",,4,6053,"2017-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/485/GCA_002117485.1_ASM211748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/485/GCF_002117485.1_ASM211748v1"
"Rhizobium sp. TAL182","Bacteria;Proteobacteria;Alphaproteobacteria","TAL182","SAMN05928285","PRJNA294178","GCA_002117725.1","Complete",6.40238,61.1892,"chromosome:NZ_CP021024.1/CP021024.1; plasmid pRetTAL182a:NZ_CP021025.1/CP021025.1; plasmid pRetTAL182b:NZ_CP021026.1/CP021026.1; plasmid pRetTAL182c:NZ_CP021027.1/CP021027.1; plasmid pRetTAL182d:NZ_CP021028.1/CP021028.1; plasmid pRetTAL182e:NZ_CP021029.1/CP021029.1",,6,5965,"2017-05-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/725/GCA_002117725.1_ASM211772v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/725/GCF_002117725.1_ASM211772v1"
"Rhizobium sp. 11515TR","Bacteria;Proteobacteria;Alphaproteobacteria","11515TR","SAMN07522840","PRJNA399130","GCA_002277895.1","Complete",7.07032,59.4551,"chromosome:NZ_CP022998.1/CP022998.1; plasmid p10195A:NZ_CP022999.1/CP022999.1; plasmid p10195B:NZ_CP023000.1/CP023000.1",,3,6522,"2017-08-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/277/895/GCA_002277895.1_ASM227789v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/895/GCF_002277895.1_ASM227789v1"
"Rhizobium sp. ACO-34A","Bacteria;Proteobacteria;Alphaproteobacteria","ACO-34A","SAMN06830640","PRJNA384228","GCA_002600635.1","Complete",6.28474,61.2184,"chromosome:NZ_CP021371.1/CP021371.1; plasmid pRACO34Aa:NZ_CP021375.1/CP021375.1; plasmid pRACO34Ab:NZ_CP021374.1/CP021374.1; plasmid pRACO34Ac:NZ_CP021373.1/CP021373.1; plasmid pRACO34Ad:NZ_CP021372.1/CP021372.1",,5,5699,"2017-10-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/600/635/GCA_002600635.1_ASM260063v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/600/635/GCF_002600635.1_ASM260063v1"
"Rhizobium sp. Y9","Bacteria;Proteobacteria;Alphaproteobacteria","Y9","SAMN05958282","PRJNA351913","GCA_002814035.1","Complete",5.32121,59.1976,"chromosome 1:NZ_CP017999.1/CP017999.1; chromosome 2:NZ_CP018000.1/CP018000.1; plasmid pY9:NZ_CP018001.1/CP018001.1",,3,4936,"2017-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/814/035/GCA_002814035.1_ASM281403v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/814/035/GCF_002814035.1_ASM281403v1"
"Rhizobium sp. NXC24","Bacteria;Proteobacteria;Alphaproteobacteria","NXC24","SAMN07823526","PRJNA415482","GCA_002944315.1","Complete",7.30254,59.3722,"chromosome:NZ_CP024311.1/CP024311.1; plasmid pRspNXC24a:NZ_CP024312.1/CP024312.1; plasmid pRspNXC24b:NZ_CP024313.1/CP024313.1; plasmid pRspNXC24c:NZ_CP024314.1/CP024314.1",,4,6706,"2018-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/944/315/GCA_002944315.1_ASM294431v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/944/315/GCF_002944315.1_ASM294431v1"
"Rhizobium sp. CCGE532","Bacteria;Proteobacteria;Alphaproteobacteria","CCGE532","SAMN10118470","PRJNA492914","GCA_003627775.1","Complete",6.92322,59.9992,"chromosome:NZ_CP032689.1/CP032689.1; plasmid pRCCGE532a:NZ_CP032693.1/CP032693.1; plasmid pRCCGE532b:NZ_CP032692.1/CP032692.1; plasmid pRCCGE532c:NZ_CP032691.1/CP032691.1; plasmid pRCCGE532d:NZ_CP032690.1/CP032690.1",,5,6309,"2018-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/775/GCA_003627775.1_ASM362777v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/775/GCF_003627775.1_ASM362777v1"
"Rhizobium sp. CCGE531","Bacteria;Proteobacteria;Alphaproteobacteria","CCGE531","SAMN10118218","PRJNA492910","GCA_003627795.1","Complete",7.14049,59.9697,"chromosome:NZ_CP032684.1/CP032684.1; plasmid pRCCGE531a:NZ_CP032688.1/CP032688.1; plasmid pRCCGE531b:NZ_CP032687.1/CP032687.1; plasmid pRCCGE531c:NZ_CP032686.1/CP032686.1; plasmid pRCCGE531d:NZ_CP032685.1/CP032685.1",,5,6480,"2018-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/795/GCA_003627795.1_ASM362779v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/795/GCF_003627795.1_ASM362779v1"
"Rhizobium sp. N941","Bacteria;Proteobacteria;Alphaproteobacteria","N941","SAMN03998648","PRJNA293118","GCA_001675075.1"," Chromosome",6.85201,61.4298,"chromosome RspN941:NZ_CP013643.1/CP013643.1; plasmid pRspN941a:NZ_CP013644.1/CP013644.1; plasmid pRspN941b:NZ_CP013645.1/CP013645.1; plasmid pRspN941d:NZ_CP013648.1/CP013648.1; plasmid pRspN941e:NZ_CP013649.1/CP013649.1",,7,6262,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/075/GCA_001675075.1_ASM167507v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/675/075/GCF_001675075.1_ASM167507v1"
"Rhizobium sp. N541","Bacteria;Proteobacteria;Alphaproteobacteria","N541","SAMN03998647","PRJNA293118","GCA_001675095.1"," Chromosome",6.86089,61.4255,"chromosome RspN541:NZ_CP013636.1/CP013636.1; plasmid pRspN541a:NZ_CP013637.1/CP013637.1; plasmid pRspN541b:NZ_CP013638.1/CP013638.1; plasmid pRspN541d:NZ_CP013641.1/CP013641.1; plasmid pRspN541e:NZ_CP013642.1/CP013642.1",,7,6268,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/095/GCA_001675095.1_ASM167509v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/675/095/GCF_001675095.1_ASM167509v1"
"Rhizobium leguminosarum bv. trifolii WSM2304","Bacteria;Proteobacteria;Alphaproteobacteria","WSM2304","SAMN00000679","PRJNA20179","GCA_000021345.1","Complete",6.8727,61.1684,"chromosome:NC_011369.1/CP001191.1; plasmid pRLG201:NC_011368.1/CP001192.1; plasmid pRLG202:NC_011366.1/CP001193.1; plasmid pRLG203:NC_011370.1/CP001195.1; plasmid pRLG204:NC_011371.1/CP001194.1",,5,6427,"2008-10-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/345/GCA_000021345.1_ASM2134v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/345/GCF_000021345.1_ASM2134v1"
"Rhizobium etli CFN 42","Bacteria;Proteobacteria;Alphaproteobacteria","CFN 42","SAMN02603106","PRJNA13932","GCA_000092045.1","Complete",6.53023,61.0458,"chromosome:NC_007761.1/CP000133.1; plasmid p42a:NC_007762.1/CP000134.1; plasmid p42b:NC_007763.1/CP000135.1; plasmid p42c:NC_007764.1/CP000136.1; plasmid p42e:NC_007765.1/CP000137.1; plasmid p42f:NC_007766.1/CP000138.1; plasmid symbiotic plasmid p42d:NC_004041.2/U80928.5",,7,5992,"2006-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/045/GCA_000092045.1_ASM9204v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1"
"Rhizobium tropici CIAT 899","Bacteria;Proteobacteria;Alphaproteobacteria","CIAT 899","SAMN02604105","PRJNA42391","GCA_000330885.1","Complete",6.68633,59.5131,"chromosome:NC_020059.1/CP004015.1; plasmid pRtrCIAT899a:NC_020060.1/CP004016.1; plasmid pRtrCIAT899b:NC_020061.1/CP004017.1; plasmid pRtrCIAT899c:NC_020062.1/CP004018.1",,4,6208,"2013-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/885/GCA_000330885.1_ASM33088v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/885/GCF_000330885.1_ASM33088v1"
"Rhizobium phaseoli Brasil 5","Bacteria;Proteobacteria;Alphaproteobacteria","Brasil 5","SAMN02469449","PRJNA29557","GCA_000172715.2","Complete",6.66545,61.3953,"chromosome:NZ_CP020896.1/CP020896.1; plasmid pRetBra5b:NZ_CP020898.1/CP020898.1; plasmid pRphaBra5a:NZ_CP020897.1/CP020897.1; plasmid pRphaBra5c:NZ_CP020899.1/CP020899.1; plasmid pRphaBra5d:NZ_CP020900.1/CP020900.1",,5,6186,"2017-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/715/GCA_000172715.2_ASM17271v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/715/GCF_000172715.2_ASM17271v2"
"Rhizobium leguminosarum bv. trifolii WSM1689","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1689","SAMN02769650","PRJNA62289","GCA_000517605.1","Complete",6.90338,60.9297,"chromosome:NZ_CP007045.1/CP007045.1; plasmid unnamed:NZ_CP007046.1/CP007046.1; plasmid unnamed2:NZ_CP007047.1/CP007047.1; plasmid unnamed3:NZ_CP007048.1/CP007048.1; plasmid unnamed4:NZ_CP007049.1/CP007049.1; plasmid unnamed5:NZ_CP007050.1/CP007050.1",,6,6429,"2014-01-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/605/GCA_000517605.1_ASM51760v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/605/GCF_000517605.1_ASM51760v1"
"Rhizobium etli CIAT 652","Bacteria;Proteobacteria;Alphaproteobacteria","CIAT 652","SAMN02603107","PRJNA28021","GCA_000020265.1","Complete",6.44805,61.3371,"chromosome:NC_010994.1/CP001074.1; plasmid pA:NC_010998.1/CP001075.1; plasmid pB:NC_010996.1/CP001076.1; plasmid pC:NC_010997.1/CP001077.1",,4,5925,"2008-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/265/GCA_000020265.1_ASM2026v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/265/GCF_000020265.1_ASM2026v1"
"Rhizobium etli bv. mimosae str. Mim1","Bacteria;Proteobacteria;Alphaproteobacteria","Mim1","SAMN02603105","PRJNA200310","GCA_000442435.1","Complete",7.198,60.8214,"chromosome:NC_021905.1/CP005950.1; plasmid pRetMIM1a:NC_021906.1/CP005951.1; plasmid pRetMIM1b:NC_021907.1/CP005952.1; plasmid pRetMIM1d:NC_021908.1/CP005954.1; plasmid pRetMIM1e:NC_021909.1/CP005955.1; plasmid pRetMIM1f:NC_021911.1/CP005956.1; plasmid pRetNIM1c:NC_021910.1/CP005953.1",,7,6515,"2013-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/435/GCA_000442435.1_ASM44243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/435/GCF_000442435.1_ASM44243v1"
"Rhizobium etli bv. phaseoli str. IE4803","Bacteria;Proteobacteria;Alphaproteobacteria","IE4803","SAMN02423217","PRJNA231318","GCA_000816125.1","Complete",6.99743,61.096,"chromosome RetIE4803:NZ_CP007641.1/CP007641.1; plasmid pRetIE4803a:NZ_CP007642.1/CP007642.1; plasmid pRetIE4803b:NZ_CP007643.1/CP007643.1; plasmid pRetIE4803c:NZ_CP007644.1/CP007644.1; plasmid pRetIE4803d:NZ_CP007645.1/CP007645.1",,5,6347,"2015-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/125/GCA_000816125.1_ASM81612v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/125/GCF_000816125.1_ASM81612v1"
"Rhizobium leguminosarum bv. viciae 3841","Bacteria;Proteobacteria;Alphaproteobacteria","3841","SAMEA1705944","PRJNA344","GCA_000009265.1","Complete",7.75131,60.8668,"chromosome:NC_008380.1/AM236080.1; plasmid pRL10:NC_008381.1/AM236084.1; plasmid pRL11:NC_008384.1/AM236085.1; plasmid pRL12:NC_008378.1/AM236086.1; plasmid pRL7:NC_008382.1/AM236081.1; plasmid pRL8:NC_008383.1/AM236082.1; plasmid pRL9:NC_008379.1/AM236083.1",,7,7191,"2006-05-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/265/GCA_000009265.1_ASM926v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/265/GCF_000009265.1_ASM926v1"
"Rhizobium leguminosarum bv. trifolii WSM1325","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1325","SAMN00000703","PRJNA20097","GCA_000023185.1","Complete",7.41812,60.7836,"chromosome:NC_012850.1/CP001622.1; plasmid pR132501:NC_012848.1/CP001623.1; plasmid pR132502:NC_012858.1/CP001624.1; plasmid pR132503:NC_012853.1/CP001625.1; plasmid pR132504:NC_012852.1/CP001626.1; plasmid pR132505:NC_012854.1/CP001627.1",,6,6946,"2009-06-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/185/GCA_000023185.1_ASM2318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/185/GCF_000023185.1_ASM2318v1"
"Rhizobium etli 8C-3","Bacteria;Proteobacteria;Alphaproteobacteria","8C-3","SAMN04017682","PRJNA293876","GCA_001908375.1","Complete",7.30912,59.4876,"chromosome:NZ_CP017241.1/CP017241.1; plasmid pRsp8C3a:NZ_CP017242.1/CP017242.1; plasmid pRsp8C3b:NZ_CP017243.1/CP017243.1; plasmid pRsp8C3c:NZ_CP017244.1/CP017244.1",,4,6720,"2016-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/908/375/GCA_001908375.1_ASM190837v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/375/GCF_001908375.1_ASM190837v1"
"Rhizobium etli","Bacteria;Proteobacteria;Alphaproteobacteria","NXC12","SAMN06767430","PRJNA383588","GCA_002119845.1","Complete",6.75685,61.0228,"chromosome:NZ_CP020906.1/CP020906.1; plasmid pRetNXC12a:NZ_CP020907.1/CP020907.1; plasmid pRetNXC12b:NZ_CP020908.1/CP020908.1; plasmid pRetNXC12c:NZ_CP020909.1/CP020909.1; plasmid pRetNXC12d:NZ_CP020910.1/CP020910.1; plasmid pRetNXC12e:NZ_CP020911.1/CP020911.1",,6,6141,"2017-05-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/119/845/GCA_002119845.1_ASM211984v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/845/GCF_002119845.1_ASM211984v1"
"Rhizobium leguminosarum bv. trifolii CB782","Bacteria;Proteobacteria;Alphaproteobacteria","CB782","SAMN02769652","PRJNA67103","GCA_000520875.1","Complete",6.70365,61.0123,"chromosome:NZ_CP007067.1/CP007067.1; plasmid unnamed:NZ_CP007068.1/CP007068.1; plasmid unnamed2:NZ_CP007069.1/CP007069.1; plasmid unnamed3:NZ_CP007070.1/CP007070.1",,4,6196,"2014-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/875/GCA_000520875.1_ASM52087v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/875/GCF_000520875.1_ASM52087v1"
"Rhizobium leguminosarum","Bacteria;Proteobacteria;Alphaproteobacteria","Vaf-108","SAMN05990783","PRJNA316801","GCA_001890425.1","Complete",8.44734,60.4985,"chromosome:NZ_CP018228.1/CP018228.1; plasmid unnamed1:NZ_CP018229.1/CP018229.1; plasmid unnamed2:NZ_CP018230.1/CP018230.1; plasmid unnamed3:NZ_CP018231.1/CP018231.1; plasmid unnamed4:NZ_CP018232.1/CP018232.1; plasmid unnamed5:NZ_CP018233.1/CP018233.1; plasmid unnamed6:NZ_CP018234.1/CP018234.1; plasmid unnamed7:NZ_CP018235.1/CP018235.1; plasmid unnamed8:NZ_CP018236.1/CP018236.1",,9,7605,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/425/GCA_001890425.1_ASM189042v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/425/GCF_001890425.1_ASM189042v1"
"Rhizobium leguminosarum bv. viciae","Bacteria;Proteobacteria;Alphaproteobacteria","BIHB 1148","SAMN04849238","PRJNA395793","GCA_002240185.1","Complete",6.95763,60.9858,"chromosome:NZ_CP022564.1/CP022564.1; plasmid pSK01:NZ_CP022565.1/CP022565.1; plasmid pSK02:NZ_CP022566.1/CP022566.1; plasmid pSK03:NZ_CP022567.1/CP022567.1; plasmid pSK04:NZ_CP022568.1/CP022568.1; plasmid pSK05:NZ_CP022569.1/CP022569.1; plasmid pSK06:NZ_CP022570.1/CP022570.1",,7,6456,"2017-08-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/240/185/GCA_002240185.1_ASM224018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/185/GCF_002240185.1_ASM224018v1"
"Rhizobium leguminosarum bv. viciae","Bacteria;Proteobacteria;Alphaproteobacteria","BIHB 1217","SAMN07414824","PRJNA395792","GCA_002243365.1","Complete",7.95255,60.5875,"chromosome:NZ_CP022665.1/CP022665.1; plasmid pPR1:NZ_CP022666.1/CP022666.1; plasmid pPR2:NZ_CP022667.1/CP022667.1; plasmid pPR3:NZ_CP022668.1/CP022668.1; plasmid pPR4:NZ_CP022669.1/CP022669.1; plasmid pPR5:NZ_CP022670.1/CP022670.1; plasmid pPR6:NZ_CP022671.1/CP022671.1",,7,7439,"2017-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/243/365/GCA_002243365.1_ASM224336v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/243/365/GCF_002243365.1_ASM224336v1"
"Rhizobium leguminosarum bv. viciae","Bacteria;Proteobacteria;Alphaproteobacteria","UPM791","SAMN07965043","PRJNA417467","GCA_002948295.1","Complete",7.83757,60.5177,"chromosome:NZ_CP025509.1/CP025509.1; plasmid pRlvA:NZ_CP025507.1/CP025507.1; plasmid pRlvB:NZ_CP025508.1/CP025508.1; plasmid pRlvC:NZ_CP025505.1/CP025505.1; plasmid pRlvD:NZ_CP025510.1/CP025510.1; plasmid pRlvE:NZ_CP025506.1/CP025506.1",,6,7158,"2018-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/948/295/GCA_002948295.1_ASM294829v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/948/295/GCF_002948295.1_ASM294829v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N671","SAMN03998626","PRJNA293118","GCA_001664365.1","Complete",6.90611,61.2859,"chromosome:NZ_CP013574.1/CP013574.1; plasmid pRphaN671a:NZ_CP013575.1/CP013575.1; plasmid pRphaN671b:NZ_CP013576.1/CP013576.1; plasmid pRphaN671c:NZ_CP013577.1/CP013577.1; plasmid pRphaN671d:NZ_CP013578.1/CP013578.1; plasmid pRphaN671e:NZ_CP013579.1/CP013579.1",,6,6445,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/365/GCA_001664365.1_ASM166436v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/365/GCF_001664365.1_ASM166436v1"
"Rhizobium leguminosarum","Bacteria;Proteobacteria;Alphaproteobacteria","Norway","SAMN07985393","PRJNA417364","GCA_002953715.1","Complete",7.78808,60.6614,"chromosome:NZ_CP025012.1/CP025012.1; plasmid pRLN1:NZ_CP025013.1/CP025013.1; plasmid pRLN2:NZ_CP025014.1/CP025014.1; plasmid pRLN3:NZ_CP025015.1/CP025015.1; plasmid pRLN4:NZ_CP025016.1/CP025016.1; plasmid pRLN5:NZ_CP025017.1/CP025017.1",,6,7158,"2018-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/715/GCA_002953715.1_ASM295371v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/715/GCF_002953715.1_ASM295371v1"
"Rhizobium leguminosarum","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 14479","SAMN09255527","PRJNA472986","GCA_003290405.1","Complete",7.93522,60.5451,"chromosome:NZ_CP030760.1/CP030760.1; plasmid unnamed1:NZ_CP030761.1/CP030761.1; plasmid unnamed2:NZ_CP030762.1/CP030762.1; plasmid unnamed3:NZ_CP030763.1/CP030763.1; plasmid unnamed4:NZ_CP030764.1/CP030764.1",,5,7317,"2018-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/290/405/GCA_003290405.1_ASM329040v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/405/GCF_003290405.1_ASM329040v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N771","SAMN03998627","PRJNA293118","GCA_001664405.1","Complete",6.90641,61.286,"chromosome:NZ_CP013568.1/CP013568.1; plasmid pRphaN671d:NZ_CP013572.1/CP013572.1; plasmid pRphaN771a:NZ_CP013569.1/CP013569.1; plasmid pRphaN771b:NZ_CP013570.1/CP013570.1; plasmid pRphaN771c:NZ_CP013571.1/CP013571.1; plasmid pRphaN771e:NZ_CP013573.1/CP013573.1",,6,6446,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/405/GCA_001664405.1_ASM166440v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/405/GCF_001664405.1_ASM166440v1"
"Rhizobium phaseoli","Bacteria;Proteobacteria;Alphaproteobacteria","N841","SAMN03998629","PRJNA293118","GCA_001664425.1","Complete",6.85991,61.2168,"chromosome:NZ_CP013557.1/CP013557.1; plasmid pRphaN841a:NZ_CP013558.1/CP013558.1; plasmid pRphaN841b:NZ_CP013559.1/CP013559.1; plasmid pRphaN841c:NZ_CP013560.1/CP013560.1; plasmid pRphaN841d:NZ_CP013561.1/CP013561.1; plasmid pRphaN841e:NZ_CP013562.1/CP013562.1",,6,6401,"2016-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/425/GCA_001664425.1_ASM166442v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/425/GCF_001664425.1_ASM166442v1"
"Rhizobium leguminosarum","Bacteria;Proteobacteria;Alphaproteobacteria","Vaf10","SAMN05285389","PRJNA316801","GCA_001679785.1","Complete",8.56782,60.5283,"chromosome:CP016286.1; plasmid unnamed1:CP016287.1; plasmid unnamed2:CP016289.1; plasmid unnamed3:CP016290.1; plasmid unnamed4:CP016292.1; plasmid unnamed5:CP016293.1; plasmid unnamed6:CP016291.1; plasmid unnamed7:CP016288.1",,8,7681,"2016-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/785/GCA_001679785.1_ASM167978v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/785/GCF_001679785.1_ASM167978v1"
